\fixlen = T
|set|HJD             |Relative_Flux|
|int|double          |double       |
 0   2454280.82186340 0.99932012    
 0   2454280.82217810 1.0001111     
 0   2454280.82249560 1.0000171     
 0   2454280.82281360 1.0018095     
 0   2454280.82313140 1.0001397     
 0   2454280.82344940 1.0001274     
 0   2454280.82376390 1.0007235     
 0   2454280.82408130 0.99998410    
 0   2454280.82439940 1.0000403     
 0   2454280.82471790 1.0002589     
 0   2454280.82503250 0.99969261    
 0   2454280.82534950 0.99854698    
 0   2454280.82566720 1.0007293     
 0   2454280.82598500 1.0002464     
 0   2454280.82630320 1.0004022     
 0   2454280.82661760 1.0014703     
