\fixlen = T
|set|BJD          |Normalized_Flux|
|int|double       |double         |
 0   2453931.15294 .995195         
 0   2453931.15363 .996222         
 0   2453931.15433 .997006         
 0   2453931.15502 .997919         
 0   2453931.15571 .998494         
 0   2453931.15641 .999260         
 0   2453931.15710 .999645         
 0   2453931.15780 .999899         
 0   2453931.15849 1.000040        
 0   2453931.15919 1.000070        
 0   2453931.15988 .999968         
 0   2453931.16058 1.000074        
 0   2453931.16127 .999944         
 0   2453931.16196 1.000002        
 0   2453931.16266 1.000024        
 0   2453931.16335 1.000010        
 0   2453931.16405 .999988         
 0   2453931.16474 .999937         
 0   2453931.16544 1.000052        
 0   2453931.16613 1.000010        
 0   2453931.16683 1.000024        
 0   2453931.16752 1.000079        
 0   2453931.16821 1.000005        
 0   2453931.16891 1.000014        
 0   2453931.16960 .999981         
 0   2453931.17030 1.000047        
 0   2453931.17099 1.000004        
 0   2453931.17169 1.000012        
 0   2453931.17238 .999983         
 0   2453931.17308 1.000002        
 0   2453931.17377 .999965         
 0   2453931.17446 1.000140        
 0   2453931.20985 1.000075        
 0   2453931.21054 1.000044        
 0   2453931.21124 1.000028        
 0   2453931.21193 .999939         
 0   2453931.21262 .999911         
 0   2453931.21332 1.000035        
 0   2453931.21401 .999913         
 0   2453931.21471 1.000082        
 0   2453931.21540 1.000021        
 0   2453931.21610 1.000169        
 0   2453931.21679 1.000052        
 0   2453931.21749 1.000091        
 0   2453931.21818 1.000049        
 0   2453931.21887 1.000039        
 0   2453931.21957 .999961         
 0   2453931.22026 1.000016        
 0   2453931.22096 .999921         
 0   2453931.22165 1.000013        
 0   2453931.22235 .999951         
 0   2453931.22304 1.000095        
 0   2453931.22374 .999880         
 0   2453931.22443 1.000057        
 0   2453931.22512 .999920         
 0   2453931.22582 1.000067        
 0   2453931.22651 .999927         
 0   2453931.22721 1.000041        
 0   2453931.22790 .999913         
 0   2453931.22860 .999970         
 0   2453931.22929 .999831         
 0   2453931.22999 .999946         
 0   2453931.23068 .999847         
 0   2453931.23137 1.000022        
 0   2453931.23207 1.000043        
 0   2453931.23276 1.000021        
 0   2453931.23346 1.000034        
 0   2453931.23415 .999971         
 0   2453931.23485 .999987         
 0   2453931.23554 1.000065        
 0   2453931.23624 .999884         
 0   2453931.23693 .999954         
 0   2453931.23762 .999905         
 0   2453931.23832 1.000065        
 0   2453931.23901 .999993         
 0   2453931.23971 1.000038        
 0   2453931.24040 .999964         
